book,chapter,verse,verse_end,type,marker,text
Genesis,1,,,translator,,**Divine name.** Genesis 1 uses *Elohim* throughout → **God**. (YHWH first appears in Genesis 2.)
Genesis,1,1,,reader,a,"""In die begin het God geskep"" — of ""Toe God begin skep het…"": die Hebreeuse sintaksis (*bereshit bara*) laat albei lesings toe. *bara* (""skep"") word net van God gebruik, anders as *asah* (""maak"", v.7, 16, 25, 31)."
Genesis,1,1,,translator,,"**Verse 1 — *bereshit bara Elohim*.** ""In die begin het God … geskep."" A defensible alternative reads v.1 as a temporal clause (""Toe God begin skep het, was die aarde woes en leeg…""); the traditional independent-clause rendering is retained and the alternative footnoted. *bara* → ""skep"" (committed, used only of God); kept distinct from *asah* → ""maak"" (vv.7, 16, 25, 31) and *yatsar* (Gen 2)."
Genesis,1,2,,reader,a,"""woes en leeg"" (*tohu wabohu*); ""diepwater"" (*tehom*, die oer-watermassa). ""die Gees van God"" (*ruach Elohim*) — *ruach* kan ook ""wind"" of ""asem"" wees; hier van God, dus ""Gees""."
Genesis,1,2,,translator,,"**Verse 2 — *tohu wabohu* / *tehom* / *ruach*.** ""woes en leeg"" / ""diepwater"" / ""Gees van God"" — all committed renderings. *ruach* here is rendered ""Gees"" (of God) per the glossary context rule (not ""wind/asem"", which apply to *ruach* of creation)."
Genesis,1,5,,reader,a,"Die Hebreeus tel ""dag een"" (*yom echad*, 'n hooftelwoord), daarna ""'n tweede … 'n vyfde dag"" (sonder lidwoord), en ""die sesde dag"" (met lidwoord, v.31) — 'n bewuste patroon wat na die sewende dag (2:2–3) toe bou."
Genesis,1,5,,translator,,"**Verse 5 — *yom echad* and the day-numbering.** Rendered **""dag een""** (cardinal ""one"", as the Hebrew has it), with the following days ""'n tweede … 'n vyfde dag"" (anarthrous ordinals) and ""**die** sesde dag"" (v.31, with the article). The Hebrew deliberately shifts from cardinal to ordinals and adds the article only at the sixth (and seventh, 2:2). This is **more literal than the imported text's ""die eerste dag""** and follows the fidelity-over-smoothness policy. **Confirmed at review:** keep ""dag een"" (and the anarthrous ordinals for days 2–5, ""die"" only at the sixth)."
Genesis,1,6,,reader,a,"""uitspansel"" (*raqia*) — letterlik 'n uitgeslane gewelf/koepel; die tradisionele weergawe word behou."
Genesis,1,11,,reader,a,"Die Hebreeus onderskei drie soorte plantegroei: *deshe* (groen plantegroei), *esev* (saadgewende plante) en *etz peri* (vrugtebome); die onderskeid word behou."
Genesis,1,11,12,translator,,"**Verses 11–12 — botanical categories.** The imported text collapsed these; here the three Hebrew categories are preserved — *deshe* (""groen plantegroei""), *esev mazria zera* (""saadgewende plante""), *etz peri* (""vrugtebome""). Footnoted."
Genesis,1,16,,reader,a,"""die twee groot ligte"" — die son en maan word nie by die naam genoem nie, moontlik doelbewus (teen hemelliggaam-aanbidding)."
Genesis,1,20,,translator,,"**Verses 20, 21, 24, 30 — *nephesh chayyah* (drift fixed).** The imported text drifted (""lewende wesens"" in v.20 vs ""lewende asem"" in v.30). Now per the committed *nephesh* context rule: the creatures are ""lewende wese(ns)"" (vv.20, 21, 24), and the same phrase in v.30 (the life *within* the animals) is ""waarin daar lewe is"" (the ""lewe"" sense). The choice is documented, not silent — this is the within-chapter consistency the project flagged as the #1 risk."
Genesis,1,21,,reader,a,"""groot seediere"" (*tanninim*) — die woord beteken ""see-monsters / groot seediere""."
Genesis,1,21,,translator,,"**Verses 20, 21, 24, 30 — *nephesh chayyah* (drift fixed).** The imported text drifted (""lewende wesens"" in v.20 vs ""lewende asem"" in v.30). Now per the committed *nephesh* context rule: the creatures are ""lewende wese(ns)"" (vv.20, 21, 24), and the same phrase in v.30 (the life *within* the animals) is ""waarin daar lewe is"" (the ""lewe"" sense). The choice is documented, not silent — this is the within-chapter consistency the project flagged as the #1 risk."
Genesis,1,21,,translator,,"**Verse 21 — *tanninim*.** ""groot seediere"" (sea monsters / great sea creatures); *bara* (""geskep"") used again, marking these as a special divine creation."
Genesis,1,24,,translator,,"**Verses 20, 21, 24, 30 — *nephesh chayyah* (drift fixed).** The imported text drifted (""lewende wesens"" in v.20 vs ""lewende asem"" in v.30). Now per the committed *nephesh* context rule: the creatures are ""lewende wese(ns)"" (vv.20, 21, 24), and the same phrase in v.30 (the life *within* the animals) is ""waarin daar lewe is"" (the ""lewe"" sense). The choice is documented, not silent — this is the within-chapter consistency the project flagged as the #1 risk."
Genesis,1,26,,reader,a,"""Laat Ons … maak"" — die Hebreeuse meervoud (""Ons"", *na'aseh … betsalmenu*) word behou sonder om die betekenis (Drie-eenheid? hemelse raad? majesteitsmeervoud?) vas te lê."
Genesis,1,26,27,reader,b,"""die mens"" (*adam*) staan hier vir die mensdom, manlik en vroulik (v.27) — nie die eienaam Adam nie (vgl. 5:1–2; die eienaam begin in 4:25)."
Genesis,1,26,27,translator,,"**Verses 26–27 — *adam* (generic), *tselem* / *demut*, the plural ""Ons"".** *adam* is mankind here → ""die mens"" (collective; ""laat **hulle** heers"" mirrors the Hebrew's singular-noun/plural-verb). ""beeld""/""gelykenis"" (*tselem*/*demut*, committed; the basis for the 5:3 echo). The first-person plural (""Ons"", *na'aseh*) is preserved ambiguously, as the Hebrew leaves it; footnoted."
Genesis,1,28,,translator,,"**Verse 28 — *kavash* / *radah*.** ""onderwerp"" (subdue) and ""heers"" (rule) — the two distinct verbs of the human mandate, kept distinct."
Genesis,1,30,,translator,,"**Verses 20, 21, 24, 30 — *nephesh chayyah* (drift fixed).** The imported text drifted (""lewende wesens"" in v.20 vs ""lewende asem"" in v.30). Now per the committed *nephesh* context rule: the creatures are ""lewende wese(ns)"" (vv.20, 21, 24), and the same phrase in v.30 (the life *within* the animals) is ""waarin daar lewe is"" (the ""lewe"" sense). The choice is documented, not silent — this is the within-chapter consistency the project flagged as the #1 risk."
Genesis,2,,,translator,,"**Divine name — first use of YHWH.** Genesis 1 used only *Elohim* (""God""). From 2:4 onward the text uses the compound *YHWH Elohim* almost throughout. Per committed policy (`TRANSLATION_POLICY.md` § 3) this is rendered **""HERE God""** (all-caps HERE for the Tetragrammaton + ""God"" for Elohim). This is the first translated chapter to exercise the divine-name policy in practice. Plain *Elohim* in vv.1–3 stays ""God""."
Genesis,2,1,,translator,,"**Verse 1 — *tseva'am*.** ""hulle hele leërskare"" (their whole host/array) — the heavenly bodies and all that fills the heavens and earth. Literal and traditional. A plainer alternative is ""alles wat hulle bevat""; flagged for the reviewer's preference."
